nodedef> name VARCHAR,label VARCHAR,width DOUBLE,height DOUBLE,x DOUBLE,y DOUBLE
52881270cdb4d_52881270cdb4d,52881270cdb4d,NaN,NaN,0.5726169,0.8367257
528812713d27d_528812713d27d,528812713d27d,NaN,NaN,0.58494174,0.8034116
528812717fcb2_528812717fcb2,528812717fcb2,NaN,NaN,0.5925612,0.79927075
5288127190a28_5288127190a28,5288127190a28,NaN,NaN,0.5832201,0.84118694
5288127303351_5288127303351,5288127303351,NaN,NaN,0.56907576,0.86083525
528812744e951_528812744e951,528812744e951,NaN,NaN,0.5520129,0.82835907
5288127484486_5288127484486,5288127484486,NaN,NaN,0.5638623,0.8287474
52881274a4bf4_52881274a4bf4,52881274a4bf4,NaN,NaN,0.59353393,0.86223555
52881274b4db7_52881274b4db7,52881274b4db7,NaN,NaN,0.6057233,0.8589419
52881274bf98f_52881274bf98f,52881274bf98f,NaN,NaN,0.59139323,0.81848425
52881274cfb50_52881274cfb50,52881274cfb50,NaN,NaN,0.57159907,0.8484083
5288127526fdf_5288127526fdf,5288127526fdf,NaN,NaN,0.5599631,0.84262234
528812752c5c5_528812752c5c5,528812752c5c5,NaN,NaN,0.5903327,0.8309767
528812754735f_528812754735f,528812754735f,NaN,NaN,0.58185405,0.8541505
528812758288b_528812758288b,528812758288b,NaN,NaN,0.6075184,0.84460604
5288127587e5d_5288127587e5d,5288127587e5d,NaN,NaN,0.5785802,0.8261488
5288127598018_5288127598018,5288127598018,NaN,NaN,0.6046105,0.83124256
52881275b83c7_52881275b83c7,52881275b83c7,NaN,NaN,0.5933589,0.8497341
52881275bdd71_52881275bdd71,52881275bdd71,NaN,NaN,0.6085996,0.8158434
52881275cdf32_52881275cdf32,52881275cdf32,NaN,NaN,0.5085309,0.5704768
5288126c99aab_5288126c99aab,5288126c99aab,NaN,NaN,0.7633032,0.17348635
5288126e17b64_5288126e17b64,5288126e17b64,NaN,NaN,0.65932745,0.15503615
5288126e27170_5288126e27170,5288126e27170,NaN,NaN,0.6880363,0.26493686
5288126e5e7fb_5288126e5e7fb,5288126e5e7fb,NaN,NaN,0.68698436,0.17217477
5288126eb238c_5288126eb238c,5288126eb238c,NaN,NaN,0.7194857,0.21280299
5288126ecc570_5288126ecc570,5288126ecc570,NaN,NaN,0.7053355,0.16836812
5288126ee1d1e_5288126ee1d1e,5288126ee1d1e,NaN,NaN,0.6823337,0.19088471
5288126f1d087_5288126f1d087,5288126f1d087,NaN,NaN,0.6880723,0.12672225
5288126f6160f_5288126f6160f,5288126f6160f,NaN,NaN,0.69277894,0.1517163
5288126f769d6_5288126f769d6,5288126f769d6,NaN,NaN,0.69185716,0.1849089
5288126fdab14_5288126fdab14,5288126fdab14,NaN,NaN,0.71077985,0.15327263
52881270430ff_52881270430ff,52881270430ff,NaN,NaN,0.7275862,0.18371224
528812704dd7c_528812704dd7c,528812704dd7c,NaN,NaN,0.71157485,0.12225404
52881270d8ef3_52881270d8ef3,52881270d8ef3,NaN,NaN,0.64656985,0.110295534
52881270de8c6_52881270de8c6,52881270de8c6,NaN,NaN,0.7202305,0.13365643
52881270e94b8_52881270e94b8,52881270e94b8,NaN,NaN,0.67015123,0.2147872
5288127105bf3_5288127105bf3,5288127105bf3,NaN,NaN,0.7679596,0.2121943
528812711bb6f_528812711bb6f,528812711bb6f,NaN,NaN,0.712062,0.18567336
5288127121543_5288127121543,5288127121543,NaN,NaN,0.69203,0.13752325
5288127126f19_5288127126f19,5288127126f19,NaN,NaN,0.72898924,0.15577711
52881271322bc_52881271322bc,52881271322bc,NaN,NaN,0.7052542,0.138072
5288127185681_5288127185681,5288127185681,NaN,NaN,0.6732644,0.13798745
52881272f1bbd_52881272f1bbd,52881272f1bbd,NaN,NaN,0.6772968,0.23919657
52881273196b6_52881273196b6,52881273196b6,NaN,NaN,0.7035085,0.19698651
528812733483b_528812733483b,528812733483b,NaN,NaN,0.69830143,0.112731606
52881273455b2_52881273455b2,52881273455b2,NaN,NaN,0.68023676,0.15209982
5288127360b1d_5288127360b1d,5288127360b1d,NaN,NaN,0.66446686,0.25547653
5288127370ce2_5288127370ce2,5288127370ce2,NaN,NaN,0.7164515,0.26989466
5288127386c5c_5288127386c5c,5288127386c5c,NaN,NaN,0.68828535,0.23574072
52881273cc963_52881273cc963,52881273cc963,NaN,NaN,0.6738207,0.16781552
5288127403670_5288127403670,5288127403670,NaN,NaN,0.6854873,0.24448317
528812743e790_528812743e790,528812743e790,NaN,NaN,0.6985086,0.12530248
5288127469736_5288127469736,5288127469736,NaN,NaN,0.6757532,0.15950437
5288127499c33_5288127499c33,5288127499c33,NaN,NaN,0.68823403,0.117907435
528812749f249_528812749f249,528812749f249,NaN,NaN,0.67762464,0.11160889
52881275b2daf_52881275b2daf,52881275b2daf,NaN,NaN,0.73596823,0.2422452
52881275c8946_52881275c8946,52881275c8946,NaN,NaN,0.68865675,0.20857213
5288126c9e4e1_5288126c9e4e1,5288126c9e4e1,NaN,NaN,0.27138788,0.54304004
5288126ca2f16_5288126ca2f16,5288126ca2f16,NaN,NaN,0.2962615,0.48582733
5288126cb5c27_5288126cb5c27,5288126cb5c27,NaN,NaN,0.26747677,0.53279847
5288126d131f9_5288126d131f9,5288126d131f9,NaN,NaN,0.281885,0.5619271
5288126d306a1_5288126d306a1,5288126d306a1,NaN,NaN,0.29097033,0.49158704
5288126d498e6_5288126d498e6,5288126d498e6,NaN,NaN,0.2874132,0.47526282
5288126d4e702_5288126d4e702,5288126d4e702,NaN,NaN,0.34438092,0.29108068
5288126d5d15d_5288126d5d15d,5288126d5d15d,NaN,NaN,0.28854537,0.4837828
5288126d76398_5288126d76398,5288126d76398,NaN,NaN,0.28760186,0.5290256
5288126d89ff0_5288126d89ff0,5288126d89ff0,NaN,NaN,0.3099929,0.5297326
